age,income,student,creditrating,class,ploss
youth,high,no,fair,no
youth,high,no,excellent,no
middleaged,high,no,fair,yes
senior,medium,no,fair,yes
senior,low,yes,fair,yes
senior,low,yes,excellent,no
middleaged,low,yes,excellent,yes
youth,medium,no,fair,no
youth,low,yes,fair,yes
senior,medium,yes,fair,yes
youth,medium,yes,excellent,yes
middleaged,medium,no,excellent,yes
middleaged,low,yes,fair,yes
senior,medium,no,excellent,no
senior,medium,no,excellent,no
senior,medium,no,excellent,no
